,Month,DAY,2018,2019,2020
0,Jan,1,1019.5,1019.3,1019.8
1,Jan,2,1019.6,1019.6,1021.6
2,Jan,3,1019.9,1022.3,1021.8
3,Jan,4,1021.4,1021.0,1021.6
4,Jan,5,1021.2,1020.1,1018.8
5,Jan,6,1020.3,1012.4,1018.0
6,Jan,7,1019.6,1021.0,1017.8
7,Jan,8,1020.5,1020.2,1019.6
8,Jan,9,1019.9,1019.7,1019.1
9,Jan,10,1019.9,1018.2,1020.1
10,Jan,11,1019.9,1017.8,1019.5
11,Jan,12,1019.7,1018.5,1019.3
12,Jan,13,1019.4,1017.3,1016.0
13,Jan,14,1019.9,1018.0,1016.1
14,Jan,15,1019.3,1020.1,1019.3
15,Jan,16,1020.5,1019.8,1020.3
16,Jan,17,1020.2,1019.7,1020.7
17,Jan,18,1018.4,1018.9,1021.5
18,Jan,19,1018.3,1018.6,1019.6
19,Jan,20,1018.0,1018.1,1018.0
20,Jan,21,1018.3,1018.7,1020.1
21,Jan,22,1019.2,1018.7,1020.3
22,Jan,23,1019.0,1016.9,1020.5
23,Jan,24,1019.6,1017.2,1020.6
24,Jan,25,1018.9,1018.0,1020.6
25,Jan,26,1019.0,1018.3,1020.7
26,Jan,27,1018.5,1018.2,1019.1
27,Jan,28,1017.8,1018.0,1019.4
28,Jan,29,1019.6,1018.3,1019.5
29,Jan,30,1020.4,1018.0,1021.2
30,Jan,31,1018.2,1018.5,1021.2
31,Feb,1,1016.6,1017.9,1020.7
32,Feb,2,1017.2,1017.6,1020.3
33,Feb,3,1016.8,1016.3,1020.8
34,Feb,4,1015.8,1016.8,1021.0
35,Feb,5,1016.1,1018.8,1020.3
36,Feb,6,1015.0,1018.5,1019.4
37,Feb,7,1015.5,1017.7,1019.7
38,Feb,8,1014.8,1017.7,1020.0
39,Feb,9,1015.3,1018.2,1022.5
40,Feb,10,1013.9,1018.7,1020.8
41,Feb,11,1014.5,1018.1,1020.6
42,Feb,12,1017.5,1018.0,1012.0
43,Feb,13,1018.2,1019.9,1018.5
44,Feb,14,1017.5,1022.4,1017.4
45,Feb,15,1018.2,1022.7,1018.4
46,Feb,16,1019.3,1021.0,1018.5
47,Feb,17,1017.4,1020.4,1018.9
48,Feb,18,1017.2,1018.8,1018.6
49,Feb,19,1016.3,1016.7,1017.3
50,Feb,20,1015.4,1017.3,1016.3
51,Feb,21,1013.9,1018.3,1018.4
52,Feb,22,1014.9,1017.3,1020.0
53,Feb,23,1014.8,1016.5,1019.7
54,Feb,24,1016.5,1015.4,1018.5
55,Feb,25,1016.8,1014.6,1017.0
56,Feb,26,1016.2,1016.6,1017.1
57,Feb,27,1017.2,1017.3,1017.8
58,Feb,28,1018.8,1018.0,1016.8
59,Feb,29,,,1017.175
60,Mar,1,1018.7,1019.5,1015.8
61,Mar,2,1018.8,1018.7,1018.2
62,Mar,3,1016.5,1018.3,1019.9
63,Mar,4,1016.0,1018.1,1019.1
64,Mar,5,1015.9,1018.0,1018.1
65,Mar,6,1016.1,1018.2,1016.6
66,Mar,7,1016.5,1018.3,1016.3
67,Mar,8,1017.2,1015.7,1017.6
68,Mar,9,1017.0,1017.1,1016.5
69,Mar,10,1016.2,1017.4,1015.3
70,Mar,11,1017.3,1017.3,1015.4
71,Mar,12,1018.5,1016.4,1017.5
72,Mar,13,1017.8,1016.4,1018.1
73,Mar,14,1017.0,1016.0,1018.6
