,Month,DAY,2018,2019,2020
0,Jan,1,26.1,28.9,26.9
1,Jan,2,27.4,29.8,22.1
2,Jan,3,27.2,30.0,23.1
3,Jan,4,29.0,30.0,24.4
4,Jan,5,26.9,31.0,27.8
5,Jan,6,29.6,29.2,29.0
6,Jan,7,31.2,29.2,30.8
7,Jan,8,31.6,29.8,31.7
8,Jan,9,32.5,29.2,32.1
9,Jan,10,32.0,28.2,34.3
10,Jan,11,29.3,32.4,33.4
11,Jan,12,30.6,32.2,34.3
12,Jan,13,29.6,34.0,35.6
13,Jan,14,29.5,33.3,34.7
14,Jan,15,30.0,32.2,31.0
15,Jan,16,30.1,31.8,30.5
16,Jan,17,29.6,32.2,30.1
17,Jan,18,32.1,34.6,28.2
18,Jan,19,32.4,35.0,28.3
19,Jan,20,32.3,30.3,31.4
20,Jan,21,32.9,33.4,33.2
21,Jan,22,29.6,35.6,32.5
22,Jan,23,28.6,35.0,30.3
23,Jan,24,27.3,33.8,29.8
24,Jan,25,30.8,33.3,25.0
25,Jan,26,27.3,32.7,28.0
26,Jan,27,30.0,31.5,31.5
27,Jan,28,31.0,32.0,32.0
28,Jan,29,30.5,33.3,31.7
29,Jan,30,28.0,32.8,30.4
30,Jan,31,29.0,34.0,30.8
31,Feb,1,32.0,33.4,30.7
32,Feb,2,33.6,33.0,31.0
33,Feb,3,35.6,32.6,30.4
34,Feb,4,36.1,33.6,31.0
35,Feb,5,36.0,33.6,30.6
36,Feb,6,37.1,31.2,30.7
37,Feb,7,36.0,32.6,32.1
38,Feb,8,36.9,32.4,31.2
39,Feb,9,36.0,32.0,31.3
40,Feb,10,37.1,31.0,29.8
41,Feb,11,37.1,31.0,28.2
42,Feb,12,36.3,29.4,28.8
43,Feb,13,34.9,31.5,31.1
44,Feb,14,32.8,30.4,32.5
45,Feb,15,35.9,29.4,32.7
46,Feb,16,35.0,30.0,33.5
47,Feb,17,34.8,30.0,33.0
48,Feb,18,34.0,30.6,34.4
49,Feb,19,34.3,34.3,32.2
50,Feb,20,35.2,35.0,32.8
51,Feb,21,35.5,36.5,25.7
52,Feb,22,35.2,34.2,34.3
53,Feb,23,34.7,35.2,32.6
54,Feb,24,34.4,34.6,31.8
55,Feb,25,34.6,36.0,31.8
56,Feb,26,36.1,29.2,33.5
57,Feb,27,36.6,34.0,34.4
58,Feb,28,34.3,33.3,34.6
59,Feb,29,,,35.6
60,Mar,1,36.9,33.3,35.6
61,Mar,2,35.9,33.2,36.4
62,Mar,3,36.4,35.1,35.2
63,Mar,4,36.6,34.6,36.1
64,Mar,5,37.2,32.1,36.0
65,Mar,6,36.1,35.0,36.8
66,Mar,7,36.6,34.2,34.8
67,Mar,8,37.2,33.6,36.4
68,Mar,9,37.2,36.9,36.6
69,Mar,10,37.3,33.8,38.0
70,Mar,11,37.8,36.0,36.3
71,Mar,12,36.6,34.5,36.3
72,Mar,13,37.0,35.4,33.0
73,Mar,14,37.6,37.9,32.0
74,Mar,15,37.6,32.0,35.0
75,Mar,16,37.2,30.5,35.0
76,Mar,17,35.9,32.3,35.9
77,Mar,18,37.7,32.2,37.3
78,Mar,19,36.8,33.6,37.1
79,Mar,20,37.0,37.9,36.7
80,Mar,21,38.4,37.9,36.7
81,Mar,22,36.4,38.3,36.3
82,Mar,23,38.2,31.5,37.5
83,Mar,24,38.5,37.0,35.4
84,Mar,25,34.5,33.4,33.8
85,Mar,26,39.4,34.6,32.5
86,Mar,27,38.6,37.0,35.0
87,Mar,28,38.1,36.5,37.2
88,Mar,29,34.0,35.0,37.4
89,Mar,30,35.5,38.0,37.9
90,Mar,31,36.4,34.6,36.8
91,Apr,1,36.2,35.4,38.3
92,Apr,2,37.2,38.7,32.9
93,Apr,3,37.6,40.6,37.7
94,Apr,4,37.2,38.4,37.8
95,Apr,5,36.2,40.4,36.4
96,Apr,6,37.6,37.2,29.0
97,Apr,7,38.2,39.0,36.4
98,Apr,8,37.0,37.1,35.4
99,Apr,9,37.1,33.6,34.2
100,Apr,10,35.5,35.6,33.0
101,Apr,11,36.6,35.4,35.4
102,Apr,12,34.6,38.7,37.1
103,Apr,13,35.0,40.6,38.0
104,Apr,14,35.3,38.4,37.2
105,Apr,15,35.1,40.4,37.3
106,Apr,16,37.8,37.2,38.6
107,Apr,17,36.8,39.0,37.4
108,Apr,18,34.3,37.1,36.8
109,Apr,19,36.8,33.6,35.6
110,Apr,20,36.3,35.6,35.4
111,Apr,21,35.8,35.8,35.6
112,Apr,22,36.5,39.4,38.1
113,Apr,23,37.3,33.2,34.1
114,Apr,24,34.9,36.5,33.3
115,Apr,25,33.4,37.5,35.1
116,Apr,26,34.3,36.8,34.5
117,Apr,27,33.8,37.4,33.6
118,Apr,28,33.6,39.1,35.4
119,Apr,29,35.0,37.5,33.2
120,Apr,30,34.6,38.5,32.0
121,May,1,33.4,38.6,31.3
122,May,2,35.4,35.2,35.0
123,May,3,31.8,35.4,36.3
124,May,4,34.3,29.8,34.4
125,May,5,31.0,33.8,34.0
126,May,6,34.0,34.0,35.1
127,May,7,34.8,35.8,33.4
128,May,8,32.7,34.4,33.4
129,May,9,33.0,37.1,34.6
130,May,10,27.4,32.6,33.1
131,May,11,30.8,35.8,31.8
132,May,12,28.5,34.4,34.4
133,May,13,32.6,34.4,34.4
134,May,14,31.4,30.3,36.8
135,May,15,31.6,34.8,33.0
136,May,16,33.5,34.3,34.5
137,May,17,32.8,32.2,33.9
138,May,18,32.0,30.4,33.6
139,May,19,33.0,33.2,28.7
140,May,20,33.4,33.7,28.2
141,May,21,32.0,34.5,33.8
142,May,22,31.8,32.6,31.4
143,May,23,33.8,34.4,31.6
144,May,24,34.1,32.7,28.8
145,May,25,31.6,33.5,29.4
146,May,26,29.9,33.0,30.2
147,May,27,31.4,32.5,32.5
148,May,28,28.0,32.8,33.0
149,May,29,30.9,31.6,31.8
150,May,30,32.0,30.5,32.8
151,May,31,33.1,29.5,31.8
152,Jun,1,32.3,28.2,31.2
153,Jun,2,32.0,28.6,31.7
154,Jun,3,30.5,31.9,32.5
155,Jun,4,31.4,32.8,32.1
156,Jun,5,32.4,30.2,32.0
157,Jun,6,30.4,25.5,32.2
158,Jun,7,31.5,28.4,31.2
159,Jun,8,33.2,31.9,32.4
160,Jun,9,31.4,31.5,27.7
161,Jun,10,30.5,30.4,30.0
162,Jun,11,30.4,30.3,30.2
163,Jun,12,32.0,31.5,30.2
164,Jun,13,30.9,31.9,31.2
165,Jun,14,29.3,31.0,29.0
166,Jun,15,31.6,31.8,31.4
167,Jun,16,31.8,32.8,31.5
168,Jun,17,31.0,32.5,31.5
169,Jun,18,29.8,31.2,29.0
170,Jun,19,25.6,29.5,29.6
171,Jun,20,24.2,32.0,30.9
172,Jun,21,27.7,29.8,31.4
173,Jun,22,30.0,26.9,30.3
174,Jun,23,25.7,31.8,29.6
175,Jun,24,28.6,27.5,31.6
176,Jun,25,30.2,29.4,32.0
177,Jun,26,31.8,28.6,26.5
178,Jun,27,29.5,30.3,29.5
179,Jun,28,30.0,27.0,28.8
180,Jun,29,28.6,31.8,27.0
181,Jun,30,28.7,30.5,29.5
182,Jul,1,28.7,28.8,26.7
183,Jul,2,27.6,27.5,31.9
184,Jul,3,28.6,31.5,30.5
185,Jul,4,29.8,29.8,26.3
186,Jul,5,29.5,24.5,28.5
187,Jul,6,29.5,29.6,32.0
188,Jul,7,31.5,30.3,28.5
189,Jul,8,29.3,26.8,29.2
190,Jul,9,30.4,26.9,28.6
191,Jul,10,31.4,30.8,28.7
192,Jul,11,31.4,28.8,28.5
193,Jul,12,30.6,28.4,26.6
194,Jul,13,29.8,32.0,28.1
195,Jul,14,30.4,33.0,28.3
196,Jul,15,28.3,30.0,28.1
197,Jul,16,30.6,28.4,25.4
198,Jul,17,29.4,27.5,26.6
199,Jul,18,27.0,26.7,30.5
200,Jul,19,29.5,27.0,29.0
201,Jul,20,30.0,29.2,28.9
202,Jul,21,29.9,27.6,29.5
203,Jul,22,30.5,26.7,29.4
204,Jul,23,31.9,30.2,29.2
205,Jul,24,29.1,30.0,26.6
206,Jul,25,25.8,25.6,26.5
207,Jul,26,29.2,28.2,29.6
208,Jul,27,29.0,30.6,23.6
209,Jul,28,29.6,30.8,23.6
210,Jul,29,29.4,26.5,27.8
211,Jul,30,24.0,28.0,29.2
212,Jul,31,26.5,29.4,25.9
213,Aug,1,27.8,31.3,26.0
214,Aug,2,28.2,25.4,29.2
215,Aug,3,29.5,27.9,23.6
216,Aug,4,28.3,27.8,26.3
217,Aug,5,28.5,26.8,26.3
218,Aug,6,26.3,28.6,22.6
219,Aug,7,27.1,27.9,23.6
220,Aug,8,29.6,27.6,27.3
221,Aug,9,26.6,28.9,26.0
222,Aug,10,28.8,27.8,23.7
223,Aug,11,29.6,29.3,26.0
224,Aug,12,31.0,27.9,30.1
225,Aug,13,28.3,30.4,24.2
226,Aug,14,29.5,28.3,27.0
227,Aug,15,29.5,27.3,29.0
228,Aug,16,27.5,27.5,29.3
229,Aug,17,25.9,29.0,28.6
230,Aug,18,27.0,28.4,28.4
231,Aug,19,27.3,25.0,24.0
232,Aug,20,27.9,26.5,30.0
233,Aug,21,27.9,24.5,30.1
234,Aug,22,30.0,28.1,28.3
235,Aug,23,26.0,27.1,27.4
236,Aug,24,26.4,26.2,25.5
237,Aug,25,28.7,29.8,27.5
238,Aug,26,27.3,26.1,27.6
239,Aug,27,28.8,24.5,29.0
240,Aug,28,27.4,29.6,25.6
241,Aug,29,30.0,23.7,25.6
242,Aug,30,29.5,30.3,24.9
243,Aug,31,28.0,31.7,27.5
244,Sep,1,26.3,27.5,30.1
245,Sep,2,28.8,27.8,27.4
246,Sep,3,29.3,32.0,30.3
247,Sep,4,29.6,27.8,23.7
248,Sep,5,27.6,27.8,25.9
249,Sep,6,31.0,31.5,26.2
250,Sep,7,27.5,30.3,31.2
251,Sep,8,26.8,27.0,32.0
252,Sep,9,30.6,29.5,28.2
253,Sep,10,28.8,30.0,28.3
254,Sep,11,25.9,31.4,27.3
255,Sep,12,30.5,30.4,31.4
256,Sep,13,31.4,32.0,29.3
257,Sep,14,30.6,27.1,29.2
258,Sep,15,32.0,28.9,29.0
259,Sep,16,31.6,30.3,29.1
260,Sep,17,30.0,29.5,27.3
261,Sep,18,30.0,31.3,30.4
262,Sep,19,31.0,30.5,32.8
263,Sep,20,32.6,31.1,31.2
264,Sep,21,32.8,31.1,27.1
265,Sep,22,32.0,32.0,31.0
266,Sep,23,32.4,31.3,30.4
267,Sep,24,27.3,31.4,31.0
268,Sep,25,31.0,32.3,30.5
269,Sep,26,30.0,32.2,26.9
270,Sep,27,32.4,32.2,30.0
271,Sep,28,31.5,31.9,30.2
272,Sep,29,28.0,31.6,28.7
273,Sep,30,28.9,32.6,29.0
274,Oct,1,33.2,27.3,29.0
275,Oct,2,29.5,28.4,28.5
276,Oct,3,30.4,30.2,28.3
277,Oct,4,32.0,32.4,28.4
278,Oct,5,30.0,30.2,31.4
279,Oct,6,35.6,28.8,31.5
280,Oct,7,30.2,29.8,35.2
281,Oct,8,30.2,27.6,29.2
282,Oct,9,29.6,29.3,28.7
283,Oct,10,32.0,29.9,30.0
284,Oct,11,31.6,30.5,32.5
285,Oct,12,32.0,29.3,31.9
286,Oct,13,27.5,29.3,33.2
287,Oct,14,32.5,30.6,30.7
288,Oct,15,31.8,31.4,32.2
289,Oct,16,31.6,26.5,31.8
290,Oct,17,32.1,28.8,31.6
291,Oct,18,32.2,29.3,32.2
292,Oct,19,32.0,29.5,31.8
293,Oct,20,32.5,27.9,33.5
294,Oct,21,32.7,29.9,33.5
295,Oct,22,34.5,33.2,34.5
296,Oct,23,31.3,31.3,33.6
297,Oct,24,33.0,31.3,31.3
298,Oct,25,30.8,31.6,31.4
299,Oct,26,31.9,30.6,37.7
300,Oct,27,31.2,28.8,32.0
301,Oct,28,31.1,28.0,34.2
302,Oct,29,31.4,29.5,32.8
303,Oct,30,34.2,31.7,34.4
304,Oct,31,32.8,32.7,34.6
305,Nov,1,32.8,32.6,32.5
306,Nov,2,33.6,30.5,32.5
307,Nov,3,31.2,31.7,32.4
308,Nov,4,32.5,33.1,32.0
309,Nov,5,32.4,33.1,33.4
310,Nov,6,32.2,30.8,30.8
311,Nov,7,30.4,32.2,32.6
312,Nov,8,33.2,33.8,32.4
313,Nov,9,34.0,34.3,33.8
314,Nov,10,30.3,35.1,31.8
315,Nov,11,32.8,30.8,32.3
316,Nov,12,28.8,33.0,32.7
317,Nov,13,29.0,33.4,31.3
318,Nov,14,35.1,30.1,30.6
319,Nov,15,34.7,32.5,32.6
320,Nov,16,33.1,32.4,32.7
