,Month,DAY,2018,2019,2020
0,Jan,1,16.3,18.4,14.5
1,Jan,2,16.1,19.5,13.2
2,Jan,3,15.7,18.4,12.4
3,Jan,4,16.0,19.6,12.6
4,Jan,5,14.2,20.1,13.6
5,Jan,6,13.0,19.2,15.2
6,Jan,7,10.6,18.2,15.2
7,Jan,8,13.5,19.2,16.0
8,Jan,9,13.0,18.0,16.8
9,Jan,10,13.0,18.5,17.2
10,Jan,11,14.0,18.6,16.0
11,Jan,12,11.1,20.8,16.4
12,Jan,13,9.6,19.3,18.0
13,Jan,14,15.1,19.0,14.6
14,Jan,15,16.0,19.3,18.4
15,Jan,16,14.8,17.8,16.3
16,Jan,17,14.5,19.6,15.2
17,Jan,18,13.5,20.1,13.6
18,Jan,19,15.0,19.2,15.0
19,Jan,20,14.6,18.8,17.2
20,Jan,21,12.2,18.8,17.2
21,Jan,22,15.7,21.9,16.4
22,Jan,23,14.9,18.6,16.7
23,Jan,24,14.0,20.5,15.6
24,Jan,25,15.4,21.7,17.0
25,Jan,26,16.5,19.6,17.2
26,Jan,27,15.9,20.3,16.6
27,Jan,28,15.5,20.0,12.6
28,Jan,29,16.4,20.2,14.4
29,Jan,30,16.0,18.6,14.6
30,Jan,31,16.5,20.3,15.6
31,Feb,1,16.7,20.5,18.2
32,Feb,2,16.2,20.0,16.2
33,Feb,3,16.9,20.5,13.0
34,Feb,4,19.0,21.4,18.3
35,Feb,5,19.4,20.8,13.9
36,Feb,6,16.2,20.6,18.1
37,Feb,7,19.2,18.1,16.6
38,Feb,8,15.6,20.0,16.3
39,Feb,9,18.2,19.6,19.4
40,Feb,10,18.0,20.1,19.0
41,Feb,11,17.8,18.0,17.4
42,Feb,12,16.5,19.5,17.0
43,Feb,13,17.8,19.9,15.6
44,Feb,14,17.4,19.2,16.3
45,Feb,15,18.2,19.5,15.8
46,Feb,16,21.0,18.0,18.6
47,Feb,17,18.9,19.5,18.6
48,Feb,18,20.0,20.0,16.2
49,Feb,19,21.7,19.0,20.0
50,Feb,20,22.0,19.8,17.3
51,Feb,21,22.1,21.1,19.3
52,Feb,22,23.4,20.0,19.6
53,Feb,23,22.3,21.6,19.0
54,Feb,24,21.5,21.0,19.0
55,Feb,25,23.3,22.1,19.1
56,Feb,26,23.6,21.5,18.6
57,Feb,27,23.3,19.6,19.0
58,Feb,28,22.2,20.2,18.2
59,Feb,29,,,20.5
60,Mar,1,19.2,20.1,21.1
61,Mar,2,17.0,20.5,21.7
62,Mar,3,18.1,22.0,20.4
63,Mar,4,19.0,21.8,20.6
64,Mar,5,18.0,21.6,20.1
65,Mar,6,21.0,20.0,22.3
66,Mar,7,21.6,21.0,19.6
67,Mar,8,23.0,21.1,20.3
68,Mar,9,24.2,21.4,20.3
69,Mar,10,23.5,21.6,21.6
70,Mar,11,21.5,20.0,21.6
71,Mar,12,21.0,21.0,21.6
72,Mar,13,19.9,22.5,18.7
73,Mar,14,21.3,21.8,19.9
74,Mar,15,20.8,21.9,17.6
75,Mar,16,21.2,20.0,16.9
76,Mar,17,22.3,19.7,21.0
77,Mar,18,22.2,22.0,18.6
78,Mar,19,22.1,22.3,20.2
79,Mar,20,22.0,22.1,20.4
80,Mar,21,23.2,22.9,20.4
81,Mar,22,25.0,18.2,21.7
82,Mar,23,25.0,22.2,20.6
83,Mar,24,22.0,20.0,19.0
84,Mar,25,20.8,20.6,20.1
85,Mar,26,22.9,21.5,20.2
86,Mar,27,21.8,22.1,16.0
87,Mar,28,22.3,22.9,20.8
88,Mar,29,22.6,21.9,19.6
89,Mar,30,21.6,20.0,23.9
90,Mar,31,22.4,21.4,24.8
91,Apr,1,24.0,21.5,24.8
92,Apr,2,24.0,22.5,23.5
93,Apr,3,24.3,20.8,19.6
94,Apr,4,24.2,22.0,24.1
95,Apr,5,22.2,21.5,23.2
96,Apr,6,24.0,21.0,22.0
97,Apr,7,24.0,18.2,23.8
98,Apr,8,25.0,22.4,20.5
99,Apr,9,24.3,21.3,22.5
100,Apr,10,23.0,23.0,20.4
101,Apr,11,23.8,21.5,26.8
102,Apr,12,24.2,22.5,22.1
103,Apr,13,24.4,20.8,23.0
104,Apr,14,23.8,22.0,21.0
105,Apr,15,22.0,21.5,23.0
106,Apr,16,22.8,21.0,22.9
107,Apr,17,24.0,18.2,20.4
108,Apr,18,24.8,22.4,22.5
109,Apr,19,24.5,21.3,24.1
110,Apr,20,23.3,23.0,22.8
111,Apr,21,23.9,21.4,23.0
112,Apr,22,25.5,22.0,21.8
113,Apr,23,24.8,21.5,23.2
114,Apr,24,25.2,23.0,22.4
115,Apr,25,23.5,22.7,23.2
116,Apr,26,23.5,20.0,23.0
117,Apr,27,23.5,23.3,22.5
118,Apr,28,22.5,23.0,21.0
119,Apr,29,23.6,23.1,24.3
120,Apr,30,25.5,22.3,22.1
121,May,1,24.4,23.1,20.8
122,May,2,23.0,19.4,22.5
123,May,3,23.2,21.5,21.3
124,May,4,23.6,17.5,22.4
125,May,5,24.3,23.8,20.4
126,May,6,22.0,23.4,22.0
127,May,7,24.2,22.7,23.1
128,May,8,25.0,22.5,23.2
129,May,9,23.1,21.4,23.2
130,May,10,22.1,23.1,23.0
131,May,11,22.4,22.5,21.9
132,May,12,20.5,22.5,23.6
133,May,13,21.3,20.2,23.4
134,May,14,22.8,23.0,21.4
135,May,15,22.3,22.1,23.3
136,May,16,23.2,20.6,24.0
137,May,17,23.1,18.6,21.5
138,May,18,21.0,21.5,23.6
139,May,19,22.4,22.3,21.0
140,May,20,22.4,22.2,22.8
141,May,21,22.5,21.5,22.7
142,May,22,23.2,21.9,23.2
143,May,23,21.8,20.5,22.6
144,May,24,23.4,21.0,22.0
145,May,25,24.0,21.4,22.0
146,May,26,20.5,21.7,20.8
147,May,27,22.7,21.8,22.0
148,May,28,20.5,21.5,18.6
149,May,29,22.6,22.3,21.8
150,May,30,22.2,22.0,22.4
151,May,31,22.5,21.3,21.2
152,Jun,1,22.6,21.2,21.9
153,Jun,2,23.0,21.2,21.1
154,Jun,3,21.2,21.2,21.3
155,Jun,4,22.2,23.1,20.6
156,Jun,5,23.0,21.7,20.4
157,Jun,6,21.1,19.8,21.4
158,Jun,7,21.5,19.5,20.4
159,Jun,8,21.8,22.0,22.0
160,Jun,9,22.9,20.9,20.0
161,Jun,10,21.5,21.3,20.0
162,Jun,11,22.6,21.8,19.3
163,Jun,12,21.0,20.6,22.0
164,Jun,13,23.3,21.4,21.6
165,Jun,14,23.2,20.0,19.8
166,Jun,15,21.2,21.5,20.6
167,Jun,16,23.7,18.6,21.2
168,Jun,17,20.0,20.5,23.5
169,Jun,18,22.1,20.4,19.2
170,Jun,19,23.1,20.1,22.4
171,Jun,20,19.5,21.3,21.9
172,Jun,21,20.5,21.0,21.5
173,Jun,22,20.5,19.5,20.6
174,Jun,23,22.0,21.2,22.5
175,Jun,24,20.9,20.3,22.0
176,Jun,25,21.5,20.5,22.9
177,Jun,26,21.9,20.6,22.2
178,Jun,27,22.0,20.5,21.3
179,Jun,28,20.0,21.1,20.2
180,Jun,29,20.0,20.2,21.4
181,Jun,30,20.0,21.5,20.0
182,Jul,1,20.8,22.2,22.4
183,Jul,2,21.8,19.9,20.0
184,Jul,3,21.0,20.9,22.4
185,Jul,4,21.6,20.7,19.5
186,Jul,5,19.0,21.0,22.0
187,Jul,6,19.5,22.8,18.6
