,Month,DAY,2018,2019,2020
0,Jan,1,25.333333333333336,26.499999999999996,26.416666666666668
1,Jan,2,27.583333333333332,30.416666666666668,29.000000000000004
2,Jan,3,24.416666666666668,25.833333333333332,27.583333333333332
3,Jan,4,27.166666666666664,28.0,32.083333333333336
4,Jan,5,29.916666666666664,30.583333333333332,33.58333333333333
5,Jan,6,28.58333333333333,29.333333333333332,29.58333333333333
6,Jan,7,25.416666666666668,24.083333333333332,24.916666666666668
7,Jan,8,26.25,26.666666666666668,26.166666666666668
8,Jan,9,25.75,26.416666666666668,30.083333333333336
9,Jan,10,25.500000000000004,26.333333333333336,30.166666666666664
10,Jan,11,29.833333333333332,31.833333333333336,34.083333333333336
11,Jan,12,27.916666666666668,29.416666666666668,28.333333333333332
12,Jan,13,27.0,28.666666666666668,26.5
13,Jan,14,26.25,26.583333333333332,24.749999999999996
14,Jan,15,24.333333333333336,25.166666666666668,22.666666666666668
15,Jan,16,23.0,24.0,21.583333333333332
16,Jan,17,22.833333333333332,25.0,22.833333333333336
17,Jan,18,22.250000000000004,25.583333333333336,24.500000000000004
18,Jan,19,22.416666666666668,22.916666666666668,24.5
19,Jan,20,23.083333333333332,22.25,25.166666666666664
20,Jan,21,25.916666666666664,25.750000000000004,28.666666666666668
21,Jan,22,22.833333333333332,21.583333333333332,24.083333333333332
22,Jan,23,21.5,21.75,21.333333333333332
23,Jan,24,23.666666666666664,24.249999999999996,25.249999999999996
24,Jan,25,22.583333333333332,23.5,23.666666666666668
25,Jan,26,21.5,22.166666666666668,25.0
26,Jan,27,21.083333333333336,23.25,23.0
27,Jan,28,24.083333333333332,30.083333333333332,30.416666666666668
28,Jan,29,22.666666666666664,29.333333333333332,30.75
29,Jan,30,22.75,23.583333333333336,22.916666666666668
30,Jan,31,22.083333333333332,23.166666666666664,23.916666666666664
31,Feb,1,23.583333333333332,22.166666666666664,21.916666666666668
32,Feb,2,20.5,21.25,22.333333333333336
33,Feb,3,18.083333333333332,20.5,20.833333333333336
34,Feb,4,17.916666666666664,17.833333333333332,19.333333333333332
35,Feb,5,20.25,22.083333333333332,24.416666666666664
36,Feb,6,21.833333333333332,21.833333333333332,23.416666666666664
37,Feb,7,18.666666666666664,25.0,27.416666666666664
38,Feb,8,17.25,25.333333333333332,25.916666666666668
39,Feb,9,20.083333333333332,28.166666666666664,27.166666666666668
40,Feb,10,18.083333333333332,19.75,20.333333333333332
