,Month,DAY,2018,2019,2020
0,Jan,1,9.666666666666666,12.0,17
1,Jan,2,12.0,15.0,19
2,Jan,3,11.666666666666666,10.0,16
3,Jan,4,12.333333333333334,12.0,22
4,Jan,5,12.333333333333334,15.0,13
5,Jan,6,10.666666666666666,15.0,8
6,Jan,7,11.0,10.0,13
7,Jan,8,12.333333333333334,12.0,13
8,Jan,9,12.0,14.0,12
9,Jan,10,10.666666666666666,9.0,10
10,Jan,11,13.0,9.0,0
11,Jan,12,11.0,10.0,10
12,Jan,13,13.333333333333334,15.0,4
13,Jan,14,10.333333333333334,9.0,12
14,Jan,15,9.0,3.0,12
15,Jan,16,8.333333333333334,11.0,14
16,Jan,17,12.0,12.0,12
17,Jan,18,8.0,9.0,15
18,Jan,19,10.333333333333334,9.0,15
19,Jan,20,13.0,4.0,9
20,Jan,21,12.0,9.0,13
21,Jan,22,12.333333333333334,14.0,18
22,Jan,23,14.0,6.0,18
23,Jan,24,13.0,3.0,13
24,Jan,25,12.0,4.0,20
25,Jan,26,11.0,8.0,15
26,Jan,27,8.333333333333334,12.0,15
27,Jan,28,12.666666666666666,12.0,14
28,Jan,29,16.333333333333332,15.0,10
29,Jan,30,14.333333333333334,12.0,18
30,Jan,31,12.666666666666666,10.0,18
31,Feb,1,10.333333333333334,11.0,19
32,Feb,2,11.333333333333334,10.0,15
33,Feb,3,11.0,4.0,14
34,Feb,4,12.333333333333334,8.0,18
35,Feb,5,11.666666666666666,7.0,16
36,Feb,6,8.0,7.0,12
37,Feb,7,9.0,11.0,13
38,Feb,8,10.333333333333334,14.0,13
39,Feb,9,8.666666666666666,19.0,18
40,Feb,10,9.0,18.0,16
41,Feb,11,5.0,13.0,17
42,Feb,12,7.0,12.0,20
43,Feb,13,9.666666666666666,12.0,13
44,Feb,14,10.333333333333334,18.0,14
45,Feb,15,8.333333333333334,11.0,17
46,Feb,16,11.333333333333334,13.0,12
47,Feb,17,10.0,13.0,14
48,Feb,18,7.666666666666667,8.0,17
49,Feb,19,8.0,13.0,14
50,Feb,20,10.0,10.0,13
51,Feb,21,11.666666666666666,13.0,17
52,Feb,22,8.333333333333334,10.0,17
53,Feb,23,8.0,4.0,19
54,Feb,24,7.666666666666667,3.0,16
55,Feb,25,9.333333333333334,3.0,20
56,Feb,26,10.333333333333334,12.0,11
57,Feb,27,10.0,5.0,14
58,Feb,28,10.666666666666666,4.0,12
59,Feb,29,,,12
60,Mar,1,11.0,6.0,11
61,Mar,2,9.666666666666666,5.0,7
62,Mar,3,11.3333333333333,13.0,9
63,Mar,4,8.0,3.0,14
64,Mar,5,7.0,3.0,12
65,Mar,6,9.666666666666666,4.0,16
66,Mar,7,8.666666666666666,6.0,18
67,Mar,8,9.0,7.0,8
68,Mar,9,9.333333333333334,3.0,10
69,Mar,10,9.666666666666666,0.0,7
70,Mar,11,7.666666666666667,0.0,7
71,Mar,12,8.0,15.0,18
72,Mar,13,8.0,5.0,13
73,Mar,14,8.0,6.0,14
74,Mar,15,12.0,5.0,14
75,Mar,16,6.333333333333333,3.0,13
76,Mar,17,7.333333333333333,18.0,15
77,Mar,18,4.333333333333333,12.0,9
78,Mar,19,7.666666666666667,11.0,12
79,Mar,20,8.0,8.0,2
80,Mar,21,9.333333333333334,13.0,8
81,Mar,22,9.0,3.0,12
82,Mar,23,4.666666666666667,7.0,10
83,Mar,24,9.333333333333334,10.0,4
84,Mar,25,8.0,8.0,7
85,Mar,26,8.666666666666666,13.0,5
86,Mar,27,7.666666666666667,16.0,5
87,Mar,28,11.0,15.0,8
88,Mar,29,7.333333333333333,9.0,5
89,Mar,30,9.666666666666666,5.0,5
90,Mar,31,9.666666666666666,11.0,7
91,Apr,1,6.333333333333333,7.0,13
92,Apr,2,7.0,17.0,5
93,Apr,3,6.666666666666667,5.0,11
94,Apr,4,7.666666666666667,5.0,3
95,Apr,5,7.666666666666667,7.0,4
96,Apr,6,9.333333333333334,14.0,12
97,Apr,7,6.666666666666667,10.0,8
98,Apr,8,8.333333333333334,10.0,12
99,Apr,9,6.666666666666667,8.0,9
100,Apr,10,6.666666666666667,10.0,5
101,Apr,11,10.333333333333334,5.0,4
102,Apr,12,8.666666666666666,8.0,5
103,Apr,13,8.0,10.0,8
104,Apr,14,7.333333333333333,9.0,9
105,Apr,15,8.333333333333334,8.0,6
106,Apr,16,8.0,8.0,2
107,Apr,17,10.0,10.0,6
108,Apr,18,10.0,10.0,6
109,Apr,19,9.666666666666666,4.0,6
110,Apr,20,5.333333333333333,4.0,8
111,Apr,21,8.333333333333334,4.0,7
112,Apr,22,7.666666666666667,11.0,9
113,Apr,23,9.0,10.0,10
114,Apr,24,7.333333333333333,5.0,12
115,Apr,25,8.666666666666666,6.0,9
116,Apr,26,10.666666666666666,6.0,9
117,Apr,27,8.333333333333334,6.0,9
118,Apr,28,8.666666666666666,11.0,6
119,Apr,29,8.0,9.0,9
120,Apr,30,7.666666666666667,9.0,9
121,May,1,10.333333333333334,10.0,14
122,May,2,8.666666666666666,5.0,8
123,May,3,10.333333333333334,3.0,5
124,May,4,9.333333333333334,9.0,6
125,May,5,9.666666666666666,3.0,6
126,May,6,9.0,9.0,5
127,May,7,8.666666666666666,3.0,8
128,May,8,7.666666666666667,9.0,7
129,May,9,6.0,5.8,2
130,May,10,11.0,5.0,11
131,May,11,12.333333333333334,5.0,10
132,May,12,13.333333333333334,5.0,8
133,May,13,6.666666666666667,4.0,4
134,May,14,7.666666666666667,6.0,8
135,May,15,9.666666666666666,7.0,7
